block_name,block_name,stress_slope,trend_status
Hanumannagar Kankalini,Unknown,2.9284320372278394,Rapid Degradation
Chhinnamasta,Unknown,2.910243774494161,Rapid Degradation
Tilathi Koiladi,Unknown,2.8359142857562905,Rapid Degradation
Chhinnamasta,Unknown,2.8135547583057385,Rapid Degradation
Tilathi Koiladi,Unknown,2.809896123018868,Rapid Degradation
Hanumannagar Kankalini,Unknown,2.7681412590307257,Rapid Degradation
Tilathi Koiladi,Unknown,2.743860157232398,Rapid Degradation
Belhi Chapena,Unknown,2.7425740068308233,Rapid Degradation
Hanumannagar Kankalini,Unknown,2.738913266946896,Rapid Degradation
Mahadeva,Unknown,2.7314214287151906,Rapid Degradation
